P,Scenario,Model,MSE,TPR,FDR,time
20,cauchy,1. Custom_Sparse_Quantile,0.1314,0.93,0.1705,0.0698
20,cauchy,2. Scikit_Learn_Lasso,100.2225,0.9467,0.8245,0.001
20,cauchy,3. Unpenalized_QuantReg,0.2722,1.0,0.8479,0.0889
20,exponential,1. Custom_Sparse_Quantile,0.0362,1.0,0.1984,0.0694
20,exponential,2. Scikit_Learn_Lasso,0.0121,1.0,0.44,0.001
20,exponential,3. Unpenalized_QuantReg,0.0648,1.0,0.8458,0.0866
20,gaussian,1. Custom_Sparse_Quantile,0.044,1.0,0.1525,0.0696
20,gaussian,2. Scikit_Learn_Lasso,0.0104,1.0,0.3927,0.0009
20,gaussian,3. Unpenalized_QuantReg,0.0892,1.0,0.8466,0.0902
100,cauchy,1. Custom_Sparse_Quantile,0.0295,0.91,0.427,0.0757
100,cauchy,2. Scikit_Learn_Lasso,37726.0687,0.8667,0.9613,0.0049
100,cauchy,3. Unpenalized_QuantReg,659788.7977,1.0,0.97,0.0998
100,exponential,1. Custom_Sparse_Quantile,0.0069,1.0,0.4079,0.0755
100,exponential,2. Scikit_Learn_Lasso,0.0028,1.0,0.7552,0.0011
100,exponential,3. Unpenalized_QuantReg,58.9954,0.9933,0.9701,0.0256
100,gaussian,1. Custom_Sparse_Quantile,0.0087,1.0,0.3396,0.075
100,gaussian,2. Scikit_Learn_Lasso,0.0024,1.0,0.7686,0.0011
100,gaussian,3. Unpenalized_QuantReg,450.9131,1.0,0.9699,0.0258
200,cauchy,1. Custom_Sparse_Quantile,0.0137,0.96,0.597,0.0722
200,cauchy,2. Scikit_Learn_Lasso,71.9848,0.64,0.977,0.0092
200,cauchy,3. Unpenalized_QuantReg,57.8075,1.0,0.9849,0.0537
200,exponential,1. Custom_Sparse_Quantile,0.0038,1.0,0.5368,0.0727
200,exponential,2. Scikit_Learn_Lasso,0.0019,1.0,0.8519,0.0012
200,exponential,3. Unpenalized_QuantReg,0.0405,1.0,0.9843,0.0538
200,gaussian,1. Custom_Sparse_Quantile,0.0047,1.0,0.561,0.0736
200,gaussian,2. Scikit_Learn_Lasso,0.0018,1.0,0.8554,0.0011
200,gaussian,3. Unpenalized_QuantReg,0.0424,1.0,0.9843,0.0536
